page_num,page_url,viewer_url,title,status
1,https://www.yiqifuwu.com/standard/1.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200331/1585616092675403.pdf,GB/T 1094.1-2013 电力变压器 第1部分：总则,success
2,https://www.yiqifuwu.com/standard/2.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200330/1585528362955294.pdf,GB∕T 38043-2019 商用真空吸尘器 性能测试方法,success
3,https://www.yiqifuwu.com/standard/3.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200330/1585528183490311.pdf,GB/T 4365-2003 电磁兼容  电工术语,success
4,https://www.yiqifuwu.com/standard/4.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200325/1585097380438954.pdf,GB/T 38043-2019 商用真空吸尘器 性能测试方法,success
5,https://www.yiqifuwu.com/standard/5.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200315/1584244210890797.pdf,GB∕T 335-2019 非自行指示秤,success
6,https://www.yiqifuwu.com/standard/6.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200315/1584241835949392.pdf,GB∕T 38337-2019 超声波电动机及其驱动控制器通用技术条件,success
7,https://www.yiqifuwu.com/standard/7.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200315/1584242494723694.pdf,GB 11243-2008医用电气设备 第2部分：婴儿培养箱安全专用要求,success
8,https://www.yiqifuwu.com/standard/8.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200315/1584233050880656.pdf,GB/T 29791.3-2013 体外诊断医疗器械 制造商提供的信息 标示 第3部分：专业用体外诊断仪器,success
9,https://www.yiqifuwu.com/standard/9.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200303/1583207155933552.pdf,GB/T 19146-2010红外人体表面温度快速筛检仪,success
10,https://www.yiqifuwu.com/standard/10.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20241227/1735308847123677.pdf,JJF 1107-2003 测量人体温度的红外温度计校准规范,success
11,https://www.yiqifuwu.com/standard/11.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200302/1583160093297814.pdf,JJG 856-2015工作用辐射温度计,success
12,https://www.yiqifuwu.com/standard/12.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200302/1583152130986790.pdf,GB/T 21417.1-2008医用红外体温计第１部分：耳腔式,success
